,Unnamed: 0,Date,Mean/Average
0,0.0,4/20/2022,44.0925
1,1.0,3/23/2022,69.7775
2,2.0,2/23/2022,40.9925
3,3.0,1/26/2022,59.055
4,4.0,12/29/2021,76.69
5,6.0,11/3/2021,104.34
6,7.0,10/6/2021,83.6075
7,8.0,9/8/2021,76.105
8,9.0,8/11/2021,88.725
9,10.0,7/14/2021,85.105
10,11.0,6/16/2021,85.91
11,12.0,5/19/2021,68.6075
12,13.0,4/21/2021,83.4925
13,14.0,3/24/2021,73.99
14,15.0,2/24/2021,69.3825
15,16.0,1/27/2021,95.315
16,17.0,12/30/2020,99.2925
17,19.0,11/4/2020,94.6625
18,20.0,10/7/2020,85.23
19,21.0,9/9/2020,56.485
20,22.0,8/12/2020,100.65
21,23.0,7/15/2020,95.1
22,24.0,6/17/2020,80.345
23,25.0,5/20/2020,78.4875
24,26.0,4/22/2020,62.3875
25,27.0,3/25/2020,26.2475
26,28.0,2/26/2020,30.325
27,29.0,1/29/2020,78.3875
28,31.0,12/4/2019,88.2125
29,32.0,11/6/2019,79.85
30,33.0,10/9/2019,67.2525
31,34.0,9/11/2019,68.7725
32,35.0,8/14/2019,61.1
33,36.0,7/17/2019,81.4
34,37.0,6/19/2019,78.4725
35,38.0,5/22/2019,64.7525
36,39.0,4/24/2019,84.2675
37,40.0,3/27/2019,83.97
38,41.0,2/27/2019,77.22
39,42.0,1/30/2019,79.8975
40,44.0,12/5/2018,49.255
41,45.0,11/7/2018,45.9625
42,46.0,10/10/2018,58.395
43,47.0,9/12/2018,87.3325
44,48.0,8/15/2018,87.01
45,49.0,7/18/2018,82.7525
46,50.0,6/20/2018,84.8
47,51.0,5/23/2018,90.4475
48,52.0,4/25/2018,68.0025
49,53.0,3/28/2018,61.9225
50,54.0,2/28/2018,78.92
51,55.0,1/31/2018,72.2375
52,57.0,12/6/2017,102.135
53,58.0,11/8/2017,87.8625
54,59.0,10/11/2017,91.4175
55,60.0,9/13/2017,103.75
56,61.0,8/16/2017,86.465
57,62.0,7/19/2017,89.245
58,63.0,6/21/2017,93.6275
59,64.0,5/24/2017,94.705
60,65.0,4/26/2017,90.055
61,66.0,3/29/2017,74.1125
62,68.0,2/1/2017,96.75
63,69.0,1/4/2017,95.5225
64,70.0,12/7/2016,99.94
65,71.0,11/9/2016,85.24
66,72.0,10/12/2016,68.695
67,73.0,9/14/2016,77.7175
68,74.0,8/17/2016,93.885
69,75.0,7/20/2016,94.8925
70,76.0,6/22/2016,76.455
71,77.0,5/25/2016,71.0925
72,78.0,4/27/2016,62.8925
73,79.0,3/30/2016,71.905
74,81.0,2/3/2016,31.995
75,,1/2/2016,42.25
76,82.0,12/30/2015,43.67
77,84.0,11/4/2015,66.665
78,85.0,10/7/2015,43.7375
79,86.0,9/9/2015,23.835
80,87.0,8/12/2015,35.43
81,88.0,7/15/2015,54.625
82,89.0,6/17/2015,56.8575
83,90.0,5/20/2015,68.22
84,91.0,4/22/2015,76.79
85,92.0,3/25/2015,83.395
86,93.0,2/18/2015,86.2175
87,94.0,1/21/2015,88.48
88,95.0,12/24/2014,86.1725
89,96.0,11/25/2014,81.7425
90,97.0,10/29/2014,77.4875
91,99.0,9/3/2014,68.24
92,100.0,8/6/2014,59.2725
93,101.0,7/9/2014,82.1875
94,102.0,6/11/2014,87.38
95,103.0,5/14/2014,77.1975
96,104.0,4/16/2014,77.985
97,105.0,3/19/2014,89.4
98,106.0,2/26/2014,83.4125
99,107.0,1/29/2014,67.78
100,109.0,12/4/2013,97.1825
101,110.0,11/6/2013,88.59
102,111.0,10/9/2013,77.5675
103,112.0,9/11/2013,70.7075
104,113.0,8/14/2013,48.4475
105,114.0,7/17/2013,74.745
106,115.0,6/19/2013,43.1825
107,116.0,5/22/2013,68.1725
108,117.0,4/24/2013,78.4625
109,118.0,3/27/2013,74.9125
110,119.0,2/27/2013,84.5825
111,120.0,1/30/2013,94.8075
112,122.0,12/5/2012,81.7275
113,123.0,11/7/2012,61.14
114,124.0,10/10/2012,67.3675
115,125.0,9/12/2012,74.99
116,126.0,8/15/2012,76.4475
117,127.0,7/18/2012,70.17
118,128.0,6/20/2012,55.575
119,129.0,5/23/2012,38.345
120,130.0,4/25/2012,58.7275
121,131.0,3/28/2012,59.965
122,132.0,2/29/2012,67.895
123,134.0,1/4/2012,50.3275
124,135.0,12/7/2011,37.6675
125,136.0,11/9/2011,40.71
126,137.0,10/12/2011,26.2175
127,138.0,9/14/2011,13.825
128,139.0,8/17/2011,24.1125
129,140.0,7/20/2011,45.82
130,141.0,6/22/2011,41.395
131,142.0,5/25/2011,45.1325
132,143.0,4/27/2011,75.275
133,144.0,3/30/2011,78.8225
134,146.0,2/2/2011,80.0675
135,147.0,1/5/2011,75.6
136,148.0,12/8/2010,74.9725
137,149.0,11/11/2010,66.7975
138,150.0,10/13/2010,66.61
139,151.0,9/15/2010,60.5675
140,152.0,8/18/2010,50.265
141,153.0,7/21/2010,52.3325
142,154.0,6/23/2010,38.4025
143,155.0,5/26/2010,33.225
144,156.0,4/28/2010,58.6425
145,157.0,3/31/2010,82.0075
146,159.0,2/3/2010,34.0
147,160.0,1/6/2010,67.34
148,161.0,12/9/2009,69.9875
149,162.0,11/11/2009,71.0075
150,163.0,10/14/2009,72.9575
151,164.0,9/16/2009,75.7275
152,165.0,8/19/2009,51.05
153,166.0,7/22/2009,48.8375
154,167.0,6/24/2009,26.975
155,168.0,5/27/2009,51.6325
156,169.0,4/29/2009,44.045
157,171.0,3/4/2009,16.025
158,172.0,2/4/2009,20.315
159,173.0,1/7/2009,23.8725
160,174.0,12/10/2008,16.145
161,175.0,11/12/2008,11.5225
162,176.0,10/15/2008,11.4975
163,177.0,9/17/2008,12.125
164,178.0,8/21/2008,32.0075
165,179.0,7/23/2008,19.485
166,180.0,6/25/2008,18.07
167,181.0,5/28/2008,52.0775
168,183.0,4/2/2008,49.53
169,184.0,3/5/2008,38.5775
170,185.0,2/6/2008,23.4625
171,186.0,1/9/2008,29.9775
172,187.0,12/12/2007,72.045
173,188.0,11/14/2007,59.9725
174,189.0,10/17/2007,76.4325
175,190.0,9/19/2007,70.695
176,191.0,8/22/2007,30.565
177,192.0,7/25/2007,36.1625
178,193.0,6/27/2007,66.7025
179,194.0,5/30/2007,63.1725
180,196.0,4/4/2007,58.6325
181,197.0,3/7/2007,45.6725
182,198.0,2/7/2007,81.025
183,199.0,1/10/2007,74.2775
184,200.0,12/13/2006,92.7825
185,201.0,11/15/2006,80.4825
186,202.0,10/18/2006,79.8725
187,203.0,9/20/2006,64.4225
188,204.0,8/23/2006,44.845
189,205.0,7/26/2006,36.3075
